"""strain"" genes"	p value	FDR	CFT073	IAI1	K12	Sakai	Product
slp	3.0E-03	1.9E-02	10.7	10.6	10.2	12.5	outer membrane lipoprotein
syd	3.1E-03	1.9E-02	11.6	11.5	11.3	9.6	conserved hypothetical protein
smg	3.1E-03	1.9E-02	11.4	11.2	10.1	11.2	conserved hypothetical protein
potI	3.1E-03	1.9E-02	12.2	10.3	10.8	10.7	putrescine transporter subunit: membrane component of ABC superfamily
ycaI	3.1E-03	1.9E-02	11.8	9.6	11.7	10.9	conserved hypothetical protein; putative inner membrane protein
sugE	3.1E-03	1.9E-02	10.9	9.7	11.2	12.2	large cation (quaternary ammonium) efflux transporter
ilvL	3.1E-03	1.9E-02	10.4	10.5	12.5	10.7	ilvG operon leader peptide
ygiW	3.1E-03	1.9E-02	10.6	12.4	10.5	10.4	conserved hypothetical protein
ybbP	3.1E-03	1.9E-02	10.0	11.6	12.2	10.2	putative ABC transporter permease
yhhM	3.1E-03	1.9E-02	10.2	10.9	12.4	10.5	conserved hypothetical protein
yjbR	3.2E-03	1.9E-02	11.9	11.4	9.5	11.2	conserved hypothetical protein
yeiS	3.2E-03	1.9E-02	11.5	9.8	12.2	10.6	conserved hypothetical protein; putative inner membrane protein
citA	3.2E-03	1.9E-02	10.5	9.8	11.9	11.9	sensory histidine kinase in two-component regulatory system with citB
caiC	3.2E-03	1.9E-02	10.9	10.2	12.5	10.4	putative crotonobetaine CoA ligase:carnitine CoA ligase
radA	3.2E-03	2.0E-02	10.7	12.3	9.9	11.1	repair protein radA homolog
entA	3.2E-03	2.0E-02	11.2	11.5	10.0	11.3	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
mpl	3.3E-03	2.0E-02	9.7	11.5	11.0	11.7	UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase
ttdA	3.3E-03	2.0E-02	10.8	11.1	12.3	9.8	L-tartrate dehydratase, alpha subunit
endA	3.3E-03	2.0E-02	11.5	10.5	10.1	12.0	DNA-specific endonuclease I
pmrD	3.3E-03	2.0E-02	11.1	11.5	11.7	9.7	polymyxin resistance protein B
yeiQ	3.3E-03	2.0E-02	11.5	10.8	11.8	9.9	putative sugar dehydrogenase, NAD-dependent
yehB	3.3E-03	2.0E-02	10.4	9.9	11.9	11.8	conserved hypothetical protein; putative outer membrane protein
fliY	3.3E-03	2.0E-02	9.8	11.2	11.6	11.3	cystine transporter subunit ; periplasmic-binding component of ABC superfamily
yjbG	3.3E-03	2.0E-02	11.3	9.5	11.6	11.6	conserved hypothetical protein
fabR	3.4E-03	2.0E-02	11.0	10.2	10.5	12.3	DNA-binding transcriptional repressor
ydhV	3.4E-03	2.0E-02	11.4	10.7	11.5	10.4	putative ferredoxin:oxidoreductase subunit
phoA	3.4E-03	2.0E-02	10.7	12.1	10.1	11.1	bacterial alkaline phosphatase
yliC	3.4E-03	2.0E-02	10.6	11.9	11.4	10.2	putative peptide transporter permease subunit: membrane component of ABC superfamily
yqiA	3.4E-03	2.0E-02	10.7	11.9	10.7	10.6	putative esterase
yohN	3.4E-03	2.0E-02	11.8	11.9	9.9	10.4	conserved hypothetical protein
ydiA	3.5E-03	2.0E-02	10.7	10.9	10.4	12.0	conserved hypothetical protein
rsmC	3.5E-03	2.0E-02	9.7	11.9	10.6	11.8	16S RNA m2G1207 methylase
dgoT	3.5E-03	2.0E-02	10.9	10.3	12.5	10.4	D-galactonate transporter
yecM	3.5E-03	2.1E-02	10.7	11.4	9.7	12.2	putative metal-binding enzyme
rbbA	3.5E-03	2.1E-02	10.2	10.9	10.5	12.4	fused ribosome-associated ATPase: ATP-binding protein ; ATP-binding protein ; putative membrane protein
yphF	3.6E-03	2.1E-02	10.2	10.3	12.4	11.0	putative sugar transporter subunit: periplasmic-binding component of ABC superfamily
nanE	3.6E-03	2.1E-02	10.7	10.2	12.1	11.0	putative N-acetylmannosamine-6-P epimerase
yfiB	3.6E-03	2.1E-02	12.0	10.9	11.4	9.7	putative outer membrane lipoprotein
tusA	3.7E-03	2.1E-02	11.5	9.5	11.7	11.4	sulfurtransferase
yfeR	3.7E-03	2.1E-02	10.2	10.2	11.3	12.3	putative DNA-binding transcriptional regulator
yciV	3.7E-03	2.1E-02	9.6	12.0	11.4	11.0	conserved hypothetical protein
nrfB	3.7E-03	2.1E-02	10.4	10.7	12.1	10.8	nitrite reductase, formate-dependent, penta-heme cytochrome c
ygdB	3.7E-03	2.1E-02	10.3	11.8	12.0	9.9	conserved hypothetical protein
fsaB	3.7E-03	2.1E-02	12.0	9.8	10.7	11.5	fructose-6-phosphate aldolase 2
yrfD	3.7E-03	2.1E-02	10.2	12.1	11.6	10.1	putative pilus assembly protein
ycjV	3.7E-03	2.1E-02	10.8	10.4	12.3	10.5	putative sugar transporter subunit: ATP-binding component of ABC superfamily transporter
asnB	3.7E-03	2.1E-02	11.1	12.2	10.5	10.2	asparagine synthetase B
yjiD	3.7E-03	2.1E-02	12.3	10.0	10.6	11.2	DNA replication/recombination/repair protein
aceA	3.7E-03	2.1E-02	10.7	10.8	12.4	10.1	isocitrate lyase
yjbO	3.7E-03	2.1E-02	10.7	9.6	11.8	11.8	putative membrane protein of unknown function
rutB	3.7E-03	2.1E-02	11.8	11.2	11.4	9.6	enzyme of the alternative pyrimidine degradation pathway
ybcH	3.7E-03	2.1E-02	12.0	9.6	11.6	10.8	conserved hypothetical protein
fis	3.8E-03	2.1E-02	10.6	11.3	10.5	11.6	global DNA-binding transcriptional dual regulator
yqjB	3.8E-03	2.1E-02	12.0	11.5	10.8	9.7	conserved hypothetical protein; puttaive outer membrane protein
yhdH	3.8E-03	2.1E-02	11.3	10.2	11.9	10.6	putative oxidoreductase, Zn-dependent and NAD(P)-binding
cpsG	3.8E-03	2.2E-02	11.4	11.0	9.6	12.0	phosphomannomutase
entD	3.8E-03	2.2E-02	10.3	11.2	12.2	10.3	phosphopantetheinyltransferase component of enterobactin synthase multienzyme complex
rusA	3.8E-03	2.2E-02	10.7	11.9	9.7	11.7	Crossover junction endodeoxyribonuclease
eutA	3.8E-03	2.2E-02	11.9	9.5	11.5	11.1	reactivating factor for ethanolamine ammonia lyase
ushA	3.8E-03	2.2E-02	11.5	9.6	10.9	11.9	bifunctional UDP-sugar hydrolase and 5-nucleotidase
dadX	3.9E-03	2.2E-02	11.2	11.5	11.3	10.0	alanine racemase 2, PLP-binding
nudG	3.9E-03	2.2E-02	11.1	12.1	11.1	9.7	pyrimidine (deoxy)nucleoside triphosphate pyrophosphohydrolase
nrdR	3.9E-03	2.2E-02	10.5	11.7	11.7	10.1	transcriptional repressor of nrd genes
ybdH	3.9E-03	2.2E-02	10.1	12.0	10.4	11.5	putative oxidoreductase
holA	3.9E-03	2.2E-02	11.4	10.8	9.7	12.1	DNA polymerase III, delta subunit
ydcY	3.9E-03	2.2E-02	11.5	11.9	9.7	10.9	conserved hypothetical protein
ydiF	4.0E-03	2.2E-02	10.9	11.2	12.1	9.9	short chain acyl-CoA transferase: fused alpha subunit ; beta subunit
rfaH	4.0E-03	2.2E-02	10.7	11.5	12.0	9.7	DNA-binding transcriptional antiterminator
ybaZ	4.0E-03	2.2E-02	9.5	11.7	11.6	11.2	putative methylated DNA-protein cysteine alkyltransferase
yjeK	4.1E-03	2.2E-02	10.7	12.4	10.7	10.2	putative lysine aminomutase
fucK	4.1E-03	2.2E-02	11.9	10.8	10.9	10.4	L-fuculokinase
nfuA	4.1E-03	2.3E-02	10.1	11.6	10.3	12.0	Fe/S biogenesis protein
surE	4.1E-03	2.3E-02	11.6	9.6	11.4	11.4	broad specificity 5(3)-nucleotidase and polyphosphatase
ygeR	4.2E-03	2.3E-02	12.3	10.5	9.9	11.3	Tetratricopeptide repeat transcriptional regulator
waaC	4.2E-03	2.3E-02	11.6	10.3	10.2	11.9	ADP-heptose:LPS heptosyl transferase I
nikB	4.2E-03	2.3E-02	10.7	11.2	12.2	9.9	nickel transporter subunit ; membrane component of ABC superfamily
yhaJ	4.2E-03	2.3E-02	12.0	9.8	11.7	10.6	putative DNA-binding transcriptional regulator
ccmG	4.2E-03	2.3E-02	9.8	11.7	10.9	11.6	periplasmic thioredoxin of cytochrome c-type biogenesis
fruR	4.2E-03	2.3E-02	11.6	11.1	9.7	11.6	DNA-binding transcriptional dual regulator
recQ	4.2E-03	2.3E-02	10.6	11.8	9.8	11.8	ATP-dependent DNA helicase
yjgF	4.2E-03	2.3E-02	9.7	11.0	11.7	11.5	ketoacid-binding protein
glxK	4.2E-03	2.3E-02	9.8	11.0	12.3	10.9	glycerate kinase II
aroE	4.2E-03	2.3E-02	11.3	11.4	11.6	9.7	dehydroshikimate reductase, NAD(P)-binding
ispA	4.2E-03	2.3E-02	11.0	11.3	9.9	11.8	geranyltranstransferase
yliK	4.2E-03	2.3E-02	12.5	10.7	10.7	10.1	fragment of methylmalonyl-CoA mutase (partial)
yegI	4.3E-03	2.3E-02	11.3	12.3	10.2	10.3	conserved hypothetical protein
yoaF	4.3E-03	2.3E-02	10.1	12.4	10.7	10.8	conserved hypothetical protein; putative outer membrane protein
nhaB	4.4E-03	2.3E-02	12.3	11.3	10.3	10.1	sodium:proton antiporter
dcm	4.4E-03	2.3E-02	11.7	11.0	11.7	9.6	DNA cytosine methylase
yhiQ	4.5E-03	2.4E-02	10.5	12.1	11.5	9.9	putative SAM-dependent methyltransferase
pepT	4.5E-03	2.4E-02	10.6	10.1	12.0	11.3	peptidase T
gadA	4.5E-03	2.4E-02	10.5	10.7	10.3	12.5	glutamate decarboxylase A, PLP-dependent
purR	4.6E-03	2.4E-02	11.0	12.3	10.1	10.5	DNA-binding transcriptional repressor, hypoxanthine-binding
ssuE	4.6E-03	2.4E-02	11.8	9.5	11.2	11.5	NAD(P)H-dependent FMN reductase
ybaV	4.6E-03	2.4E-02	11.5	9.5	11.4	11.6	conserved hypothetical protein
dam	4.6E-03	2.4E-02	11.9	11.6	9.7	10.8	Site-specific DNA-methyltransferase (adenine-specific)
artP	4.6E-03	2.4E-02	9.6	11.5	11.1	11.8	arginine transporter subunit ; ATP-binding component of ABC superfamily
nadC	4.6E-03	2.4E-02	12.5	10.7	10.7	10.1	quinolinate phosphoribosyltransferase
ttk	4.6E-03	2.4E-02	9.7	11.8	10.8	11.7	division inhibitor
yjdO	4.6E-03	2.4E-02	11.9	10.4	11.3	10.3	conserved hypothetical protein
wcaF	4.7E-03	2.4E-02	11.3	10.0	10.4	12.3	putative glycose-acyl transferase
tsgA	4.7E-03	2.4E-02	12.2	10.2	10.9	10.7	putative transporter
rsxG	4.7E-03	2.4E-02	10.7	12.2	9.9	11.2	putative oxidoreductase
yfbQ	4.7E-03	2.5E-02	11.4	11.4	9.9	11.3	putative aminotransferase
thiP	4.7E-03	2.5E-02	11.0	9.8	12.0	11.2	fused thiamin transporter subunits of ABC superfamily: membrane components
yebA	4.7E-03	2.5E-02	10.7	11.9	9.9	11.6	putative metallopeptidase
ybbB	4.8E-03	2.5E-02	9.7	12.0	10.8	11.5	tRNA 2-selenouridine synthase, selenophosphate-dependent
yqaB	4.8E-03	2.5E-02	10.4	11.7	11.7	10.3	putative hydrolase
phnG	4.8E-03	2.5E-02	9.6	12.0	11.1	11.4	carbon-phosphorus lyase complex subunit
cobB	4.8E-03	2.5E-02	10.8	12.1	9.7	11.4	deacetylase of acetyl-CoA synthetase, NAD-dependent
gshB	4.8E-03	2.5E-02	9.5	11.6	11.4	11.5	glutathione synthetase
uhpA	4.9E-03	2.5E-02	10.9	11.3	12.1	9.7	DNA-binding response regulator in two-component regulatory system wtih UhpB
nagZ	4.9E-03	2.5E-02	10.6	12.3	10.7	10.4	beta N-acetyl-glucosaminidase
lolE	4.9E-03	2.5E-02	11.8	11.8	10.6	9.8	outer membrane-specific lipoprotein transporter subunit ; membrane component of ABC superfamily
garK	4.9E-03	2.5E-02	10.5	10.2	12.3	11.1	glycerate kinase I
yfcX	4.9E-03	2.5E-02	10.2	11.2	12.2	10.3	fused enoyl-CoA hydratase and epimerase and isomerase ; 3-hydroxyacyl-CoA dehydrogenase
tpiA	5.0E-03	2.5E-02	11.2	11.8	9.9	11.0	triosephosphate isomerase
ynbE	5.0E-03	2.5E-02	11.5	10.6	12.1	9.8	putative lipoprotein
cysE	5.0E-03	2.6E-02	10.2	11.6	10.6	11.6	serine acetyltransferase
fhuB	5.1E-03	2.6E-02	10.4	10.9	10.4	12.3	fused iron-hydroxamate transporter subunits of ABC superfamily: membrane components
narL	5.1E-03	2.6E-02	11.7	11.8	10.8	9.7	DNA-binding response regulator in two-component regulatory system with NarX (or NarQ)
yjbJ	5.1E-03	2.6E-02	10.2	10.5	12.4	10.9	putative stress response protein
mutH	5.2E-03	2.6E-02	11.7	12.0	9.8	10.5	methyl-directed mismatch repair protein
yfdX	5.2E-03	2.6E-02	12.1	10.2	11.5	10.2	conserved hypothetical protein
gltA	5.2E-03	2.6E-02	10.9	11.5	11.2	10.4	citrate synthase
betB	5.2E-03	2.6E-02	11.9	11.4	10.4	10.4	betaine aldehyde dehydrogenase, NAD-dependent
yceA	5.2E-03	2.6E-02	11.2	12.0	10.7	10.1	conserved hypothetical protein
kdpA	5.3E-03	2.6E-02	10.3	11.0	10.5	12.2	potassium translocating ATPase, subunit A
yecJ	5.4E-03	2.7E-02	11.1	10.9	12.2	9.8	conserved hypothetical protein
ybhH	5.4E-03	2.7E-02	9.8	12.0	11.5	10.8	conserved hypothetical protein
pflD	5.4E-03	2.7E-02	11.9	11.8	10.2	10.1	putative formate acetyltransferase 2 (pyruvate formate lyase II)
pgk	5.4E-03	2.7E-02	9.7	11.4	11.5	11.4	phosphoglycerate kinase
ytfH	5.4E-03	2.7E-02	12.0	9.9	11.7	10.4	fragment of putative transcriptional regulator (partial)
yafV	5.4E-03	2.7E-02	10.1	12.1	11.5	10.4	putative C-N hydrolase family amidase
cld	5.4E-03	2.7E-02	10.7	9.7	12.1	11.4	regulator of length of O-antigen component of lipopolysaccharide chains
ssb	5.5E-03	2.7E-02	10.0	12.3	10.8	10.9	Single-stranded DNA-binding protein
yadD	5.5E-03	2.7E-02	10.4	12.4	10.3	10.8	putative transposase
yeaM	5.5E-03	2.7E-02	10.3	10.1	11.6	12.0	putative DNA-binding transcriptional regulator
selD	5.5E-03	2.7E-02	10.5	10.8	12.5	10.3	selenophosphate synthase
yeiU	5.6E-03	2.7E-02	11.6	10.7	9.8	11.8	undecaprenyl pyrophosphate phosphatase
allC	5.6E-03	2.7E-02	11.2	9.8	12.2	10.8	allantoate amidohydrolase
slyD	5.6E-03	2.7E-02	9.8	11.0	11.4	11.8	FKBP-type peptidyl prolyl cis-trans isomerase (rotamase)
yphD	5.6E-03	2.7E-02	12.2	11.2	10.6	10.0	putative sugar transporter subunit: membrane component of ABC superfamily
yjfY	5.6E-03	2.7E-02	12.3	9.9	11.3	10.5	conserved hypothetical protein
ynbD	5.6E-03	2.7E-02	11.7	11.1	11.6	9.6	putative membrane associated phosphatase
creA	5.6E-03	2.7E-02	11.8	10.3	12.0	10.0	conserved hypothetical protein
lnt	5.6E-03	2.7E-02	11.3	11.5	11.7	9.5	apolipoprotein N-acyltransferase
yggR	5.6E-03	2.7E-02	10.2	10.2	12.3	11.3	transporter
frwD	5.6E-03	2.7E-02	10.9	9.6	11.9	11.6	enzyme IIB component of PTS
eutH	5.7E-03	2.8E-02	11.4	11.9	11.1	9.6	putative ethanolamine transporter
ygiE	5.7E-03	2.8E-02	11.4	10.7	9.9	12.0	zinc transporter
lolD	5.7E-03	2.8E-02	10.5	10.8	12.5	10.2	outer membrane-specific lipoprotein transporter subunit ; ATP-binding component of ABC superfamily
fadA	5.8E-03	2.8E-02	10.3	10.8	10.5	12.3	3-ketoacyl-CoA thiolase (thiolase I)
aroC	5.8E-03	2.8E-02	11.9	9.6	11.4	11.1	chorismate synthase
yiaH	5.8E-03	2.8E-02	11.2	11.3	11.9	9.5	conserved hypothetical protein; putative inner membrane protein
glmU	5.9E-03	2.8E-02	10.6	12.3	10.0	11.1	fused N-acetyl glucosamine-1-phosphate uridyltransferase ; glucosamine-1-phosphate acetyl transferase
yehQ	5.9E-03	2.8E-02	11.2	10.2	10.2	12.4	conserved hypothetical protein
fadL	6.0E-03	2.8E-02	11.6	11.6	9.5	11.4	Long-chain fatty acid transport protein precursor (Outer membrane fadL protein) (Outer membrane flp protein)
ycfM	6.0E-03	2.8E-02	10.8	11.8	10.0	11.4	putative outer membrane lipoprotein
hybB	6.0E-03	2.8E-02	11.0	10.7	10.9	11.4	hydrogenase 2 cytochrome b type component
nadD	6.0E-03	2.9E-02	12.4	10.8	10.1	10.6	nicotinic acid mononucleotide adenylyltransferase, NAD(P)-dependent
rep	6.1E-03	2.9E-02	11.9	11.8	9.9	10.4	DNA helicase and single-stranded DNA-dependent ATPase
yeiT	6.1E-03	2.9E-02	11.7	10.5	11.1	10.7	putative Fe-S cluster containing oxidoreductase subunit
menE	6.1E-03	2.9E-02	10.5	10.3	10.9	12.2	o-succinylbenzoate-CoA ligase
exo	6.1E-03	2.9E-02	12.0	11.6	10.1	10.3	exonuclease IX (5-3 exonuclease)
mviM	6.1E-03	2.9E-02	12.3	10.6	10.5	10.6	fragment of putative oxidoreductase with NAD(P)-binding Rossmann-fold domain (part 1)
cusS	6.1E-03	2.9E-02	10.9	10.1	10.5	12.5	sensory histidine kinase in two-component regulatory system with CusR, senses copper ions
ygcF	6.2E-03	2.9E-02	9.5	11.2	11.5	11.7	conserved hypothetical protein
ynhG	6.2E-03	2.9E-02	9.9	11.5	11.4	11.2	conserved hypothetical protein
yeiC	6.2E-03	2.9E-02	12.4	10.8	10.8	10.0	putative kinase
ydjX	6.3E-03	3.0E-02	10.0	12.1	10.4	11.5	conserved hypothetical protein; putative inner membrane protein
yahJ	6.3E-03	3.0E-02	11.7	9.6	11.0	11.8	putative deaminase/amidohydrolase with metallo-dependent hydrolase domain
cueO	6.4E-03	3.0E-02	10.9	11.9	9.7	11.6	multicopper oxidase (laccase)
ybcS	6.4E-03	3.0E-02	10.0	10.3	11.8	11.9	putative lysozyme; DLP12 prophage
prpD	6.4E-03	3.0E-02	10.0	11.8	11.9	10.3	2-methylcitrate dehydratase
lpxK	6.5E-03	3.0E-02	10.8	12.3	10.0	10.9	fragment of lipid A 4kinase (part 2)
metH	6.5E-03	3.0E-02	11.7	9.6	11.7	11.0	homocysteine-N5-methyltetrahydrofolate transmethylase, B12-dependent
ydhT	6.5E-03	3.0E-02	11.3	11.5	11.6	9.5	conserved hypothetical protein
pheP	6.5E-03	3.0E-02	12.0	11.1	10.2	10.7	phenylalanine transporter
fadH	6.5E-03	3.0E-02	10.5	11.2	12.3	10.0	2,4-dienoyl-CoA reductase, NADH and FMN-linked
yafK	6.6E-03	3.0E-02	11.1	11.4	11.8	9.7	conserved hypothetical protein
citC	6.6E-03	3.1E-02	12.4	10.2	10.5	10.9	citrate lyase synthetase
dnaX	6.7E-03	3.1E-02	12.4	10.8	10.7	10.1	DNA polymerase III/DNA elongation factor III, tau and gamma subunits
ybiX	6.7E-03	3.1E-02	10.0	11.2	12.1	10.7	conserved hypothetical protein with PKHD hydroxylase domain
pldA	6.8E-03	3.1E-02	11.9	11.2	9.9	11.0	outer membrane phospholipase A
ycfP	6.8E-03	3.1E-02	11.3	9.5	11.7	11.4	conserved hypothetical protein
yfbJ	6.8E-03	3.1E-02	12.3	10.1	10.4	11.2	conserved hypothetical protein; putative membrane protein
mltC	6.8E-03	3.1E-02	11.5	11.9	10.8	9.8	membrane-bound lytic murein transglycosylase C
yfbS	6.9E-03	3.1E-02	12.2	10.2	11.4	10.3	putative transporter
fimF	6.9E-03	3.2E-02	11.6	12.0	10.4	10.0	minor component of type 1 fimbriae
rhlE	6.9E-03	3.2E-02	10.5	10.8	12.5	10.2	RNA helicase
cyaY	6.9E-03	3.2E-02	11.6	10.3	12.0	10.1	frataxin, iron-binding and oxidizing protein
yidL	7.0E-03	3.2E-02	10.9	11.3	12.1	9.7	putative DNA-binding transcriptional regulator
yeeA	7.0E-03	3.2E-02	9.6	11.1	11.8	11.5	conserved hypothetical protein; putative inner membrane protein
gntR	7.0E-03	3.2E-02	9.9	10.8	12.3	11.0	DNA-binding transcriptional repressor
hlyE	7.0E-03	3.2E-02	10.4	10.0	11.9	11.7	fragment of hemolysin E (partial)
pepN	7.0E-03	3.2E-02	10.7	11.5	10.0	11.8	aminopeptidase N
yehI	7.1E-03	3.2E-02	9.5	11.7	11.5	11.2	conserved hypothetical protein
ybiV	7.1E-03	3.2E-02	11.4	11.7	10.0	10.9	type II HAD phosphatase
ydfD	7.2E-03	3.2E-02	12.3	10.4	10.9	10.4	conserved hypothetical protein; Qin prophage
hisA	7.2E-03	3.2E-02	9.7	11.6	11.0	11.7	N-(5-phospho-L-ribosyl-formimino)-5-amino-1-(5-phosphoribosyl)-4-imidazolecarboxamide isomerase
yphE	7.2E-03	3.2E-02	11.3	9.8	12.2	10.7	fused putative sugar transporter subunits of ABC superfamily: ATP-binding components
bcr	7.2E-03	3.2E-02	11.4	9.6	12.0	10.9	bicyclomycin/multidrug efflux system
yjfK	7.2E-03	3.2E-02	11.9	10.3	9.9	11.9	conserved hypothetical protein
pepQ	7.2E-03	3.2E-02	10.5	10.2	11.5	11.9	proline dipeptidase
phnF	7.4E-03	3.3E-02	11.6	9.6	11.7	11.0	putative DNA-binding transcriptional regulator of phosphonate uptake and biodegradation
yhfK	7.4E-03	3.3E-02	11.9	11.1	10.2	10.9	conserved hypothetical protein; putative inner membrane protein
ybdF	7.4E-03	3.3E-02	11.1	11.3	9.8	11.8	conserved hypothetical protein
fucR	7.5E-03	3.3E-02	11.6	10.0	11.1	11.3	DNA-binding transcriptional activator
suhB	7.5E-03	3.3E-02	12.0	11.4	10.8	9.8	inositol monophosphatase
sufA	7.6E-03	3.4E-02	10.3	11.4	11.2	11.0	Fe-S cluster assembly protein
dgkA	7.6E-03	3.4E-02	10.0	12.2	11.2	10.5	diacylglycerol kinase
sufS	7.6E-03	3.4E-02	11.0	11.7	10.5	10.8	selenocysteine lyase, PLP-dependent
yfeO	7.6E-03	3.4E-02	11.6	11.1	9.6	11.7	putative ion channel protein
amn	7.6E-03	3.4E-02	9.9	11.3	11.2	11.5	AMP nucleosidase
ftsB	7.6E-03	3.4E-02	12.3	10.8	10.2	10.7	cell division protein
yneE	7.7E-03	3.4E-02	11.6	10.5	10.0	11.9	conserved hypothetical protein; putative inner membrane protein
ydhB	7.8E-03	3.4E-02	10.2	10.7	12.3	10.8	putative DNA-binding transcriptional regulator; LysR-type
yahF	7.8E-03	3.4E-02	10.3	10.2	11.1	12.4	putative enzyme with acyl-CoA domain
ydiS	7.9E-03	3.5E-02	10.5	10.0	11.0	12.4	putative oxidoreductase subunit with FAD/NAD(P)-binding domain
dxr	7.9E-03	3.5E-02	12.3	10.9	10.4	10.4	fragment of 1-deoxy-D-xylulose 5-phosphate reductoisomerase (part 1)
rhtA	8.0E-03	3.5E-02	11.6	11.0	11.7	9.7	threonine and homoserine efflux system
yiiX	8.0E-03	3.5E-02	10.9	10.6	10.1	12.4	putative peptidoglycan peptidase
ycfJ	8.0E-03	3.5E-02	9.6	11.5	11.7	11.3	conserved hypothetical protein
yfjB	8.0E-03	3.5E-02	9.9	11.5	11.4	11.1	NAD kinase
frwC	8.0E-03	3.5E-02	10.7	10.2	10.6	12.5	enzyme IIC component of PTS
wcaA	8.1E-03	3.5E-02	12.1	9.7	11.2	11.0	putative glycosyl transferase
yehW	8.1E-03	3.5E-02	10.3	10.1	12.1	11.5	putative transporter subunit: permease component of ABC superfamily transporter
rnhB	8.1E-03	3.5E-02	12.2	11.1	10.0	10.7	ribonuclease HII, degrades RNA of DNA-RNA hybrids
polA	8.2E-03	3.6E-02	11.5	11.1	11.6	9.8	fragment of fused DNA polymerase I 5->3 exonuclease ; 3->5 polymerase ; 3->5 exonuclease (part 2)
ispH	8.2E-03	3.6E-02	11.1	12.0	11.2	9.6	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase, 4Fe-4S protein
yacL	8.2E-03	3.6E-02	9.8	11.0	12.2	11.0	conserved hypothetical protein
yigZ	8.2E-03	3.6E-02	11.7	11.0	9.9	11.5	putative elongation factor
yodC	8.2E-03	3.6E-02	10.9	9.7	11.7	11.7	hypothetical protein
pdxK	8.3E-03	3.6E-02	10.0	11.6	10.4	12.0	pyridoxal-pyridoxamine kinase/hydroxymethylpyrimidine kinase
ynbC	8.3E-03	3.6E-02	12.2	10.5	11.1	10.2	putative hydrolase
aidB	8.3E-03	3.6E-02	10.3	10.0	11.9	11.8	isovaleryl CoA dehydrogenase
ligT	8.4E-03	3.6E-02	10.4	11.2	10.2	12.1	2-5 RNA ligase
yejF	8.4E-03	3.6E-02	10.6	11.8	9.8	11.8	putative fused oligopeptide transporter subunits of ABC superfamily: ATP-binding components
ygaZ	8.4E-03	3.6E-02	10.8	11.9	11.4	9.9	putative transporter
glgC	8.4E-03	3.6E-02	11.9	10.3	11.3	10.6	glucose-1-phosphate adenylyltransferase
thiL	8.4E-03	3.6E-02	11.8	11.4	9.7	11.1	thiamin-monophosphate kinase
yehM	8.4E-03	3.6E-02	10.4	11.1	12.4	10.2	conserved hypothetical protein
yebY	8.5E-03	3.6E-02	11.7	11.0	11.2	10.1	conserved hypothetical protein
ydfH	8.5E-03	3.6E-02	11.3	12.1	9.9	10.7	putative DNA-binding transcriptional regulator
fdx	8.5E-03	3.6E-02	9.8	11.5	11.0	11.8	[2Fe-2S] ferredoxin
hcp	8.8E-03	3.7E-02	11.6	10.0	12.0	10.3	hybrid-cluster [4Fe-2S-2O] protein in anaerobic terminal reductases
rhaA	9.0E-03	3.8E-02	12.2	10.9	9.7	11.1	L-rhamnose isomerase
chbR	9.0E-03	3.8E-02	11.1	9.6	11.9	11.4	DNA-binding transcriptional dual regulator
moeB	9.0E-03	3.8E-02	12.3	10.8	10.2	10.8	molybdopterin synthase sulfurylase
btuD	9.0E-03	3.8E-02	10.3	11.1	12.4	10.2	vitamin B12 transporter subunit : ATP-binding component of ABC superfamily
ygfZ	9.1E-03	3.8E-02	11.0	11.0	12.3	9.8	enzyme component involved in 2-methylthio-6-iodeadenosine formation
fixA	9.2E-03	3.9E-02	10.3	10.4	10.9	12.4	putative electron transfer flavoprotein subunit, ETFP adenine nucleotide-binding domain
gyrA	9.2E-03	3.9E-02	10.8	12.2	9.8	11.1	DNA gyrase (type II topoisomerase), subunit A
fliF	9.2E-03	3.9E-02	9.7	11.3	12.0	11.0	flagellar basal-body MS-ring and collar protein
yceJ	9.2E-03	3.9E-02	12.1	10.9	10.4	10.6	putative cytochrome b561
yafD	9.3E-03	3.9E-02	11.8	11.4	10.5	10.3	conserved hypothetical protein
ycbG	9.3E-03	3.9E-02	10.6	10.4	12.5	10.6	conserved hypothetical protein
ptr	9.3E-03	3.9E-02	11.0	11.6	9.6	11.7	protease III
aceB	9.4E-03	3.9E-02	10.6	11.5	11.9	9.9	malate synthase A
nadA	9.4E-03	3.9E-02	10.4	10.9	11.5	11.2	quinolinate synthase, subunit A
ychQ	9.4E-03	3.9E-02	11.7	11.8	10.8	9.7	putative membrane protein; putative component of transcriptional regulator
clpA	9.4E-03	3.9E-02	10.7	10.8	11.3	11.2	ATPase and specificity subunit of ClpA-ClpP ATP-dependent serine protease, chaperone activity
xdhD	9.4E-03	3.9E-02	11.9	11.1	9.6	11.4	fused putative xanthine/hypoxanthine oxidase: molybdopterin-binding subunit ; Fe-S binding subunit
ynjF	9.4E-03	3.9E-02	11.2	10.1	10.3	12.3	putative phosphatidyl transferase, inner membrane protein
ydjR	9.4E-03	3.9E-02	10.1	10.5	11.1	12.3	conserved hypothetical protein
